absdiff,52.23,51.96,59.34,51.02
add,52.24,51.69,52.24,53.03
addWeighted,52.79,53.71,53.42,58.40
bilateralFilter,47.14,56.43,81.88,178.59
bitwise_and,53.12,51.80,51.13,53.61
bitwise_not,53.14,53.17,52.53,53.72
bitwise_or,53.39,52.11,51.70,53.05
bitwise_xor,52.77,52.48,51.88,53.13
blendLinear,32.79,24.74,18.21,9.87
blur,50.50,52.18,53.87,70.03
boxFilter,50.49,51.60,54.38,70.54
buildPyramid,41.88,41.03,43.34,53.16
Canny,38.14,30.37,16.09,40.10
CascadeClassifier,0.98,1.07,1.01,1.01
checkRange,0.01,0.01,0.00,0.00
compare,53.53,52.60,51.69,53.95
convertScaleAbs,52.87,52.63,53.80,59.47
copyMakeBorder,53.00,53.00,51.42,53.27
cornerHarris,7.72,19.37,35.86,71.57
cornerMinEigenVal,6.90,18.21,36.65,77.10
countNonZero,0.08,0.20,0.31,0.92
cvtColor,31.43,31.18,31.43,32.66
dct,0.81,0.87,0.90,0.91
dft,0.78,2.32,4.05,11.06
dilate,50.28,50.15,50.58,53.83
divide,53.02,53.63,54.10,61.19
drawContours,0.16,0.16,0.21,0.33
equalizeHist,0.18,0.45,0.76,2.79
erode,50.51,49.40,50.85,54.63
exp,275.45,279.42,243.91,132.10
extractChannel,51.59,52.66,51.33,52.83
filter2D,48.06,56.93,75.56,176.86
findContours,0.66,0.86,0.85,0.78
findNonZero,0.39,0.36,0.34,0.33
flip,51.40,50.00,50.70,52.70
GaussianBlur,39.66,38.45,35.91,30.65
idct,0.85,0.91,0.91,0.92
idft,1.01,2.87,5.60,8.91
inRange,47.23,44.74,44.95,47.12
integral,6.23,2.48,1.51,0.84
Laplacian,47.03,48.10,49.62,63.86
log,269.06,261.06,214.61,98.08
LUT,0.29,0.60,1.44,3.93
matchTemplate,6.10,4.11,3.24,0.95
max,46.14,53.85,27.36,52.64
mean,0.13,0.14,0.16,0.17
meanStdDev,42.35,46.25,45.04,45.58
medianBlur,47.92,50.03,55.07,83.78
min,49.32,49.50,48.04,50.53
morphologyEx,18.89,7.56,4.07,1.67
mulSpectrums,0.27,0.34,0.37,0.36
multiply,50.69,48.54,36.79,50.76
mulTransposed,0.99,1.00,0.99,1.04
norm,45.24,47.88,44.49,41.94
normalize,40.12,40.75,39.62,40.45
pow,49.73,49.34,31.14,51.62
PSNR,44.67,45.50,43.10,36.84
pyrDown,49.33,48.63,49.91,57.28
pyrMeanShiftFiltering,3.24,1.80,1.37,1.08
pyrUp,51.93,53.82,58.53,83.32
randn,0.92,0.94,0.94,0.96
randShuffle,0.77,0.84,0.92,0.95
randu,0.83,0.86,0.87,0.89
remap,24.62,15.58,12.25,5.33
resize,49.02,50.36,42.77,51.17
scaleAdd,50.14,50.07,54.09,42.85
Scharr,24.43,17.92,13.92,9.50
sepFilter2D,8.21,3.59,2.07,1.23
Sobel,38.77,35.98,31.79,20.97
sort,0.69,0.67,0.71,0.72
sortIdx,0.88,0.94,0.94,0.95
spatialGradient,0.60,0.66,0.67,0.67
sqrBoxFilter,53.45,54.40,56.78,74.04
sqrt,277.77,257.05,192.57,70.84
subtract,48.84,50.25,50.38,52.76
sum,46.99,38.55,45.76,36.49
threshold,53.64,53.25,51.78,53.62
transform,20.43,7.85,4.15,1.73
transpose,51.70,51.97,52.20,55.45
warpAffine,1.51,3.36,7.68,19.20
warpPerspective,4.00,7.86,18.67,43.71
