absdiff,56098.83,1074,56642,1090,65857,1110,59378,1164
add,56223,1076,56295,1089,56840,1088,59509,1122
addWeighted,56086.17,1062,57064,1062,58537,1096,66226,1134
bilateralFilter,69815.67,1481,85845,1521,125426,1532,321907,1802
bitwise_and,56297,1060,56328,1088,56930,1113,59636,1112
bitwise_not,56327,1060,56476,1062,57206,1089,60027,1118
bitwise_or,56175.17,1052,56496,1084,56814,1099,59620,1124
bitwise_xor,56209.33,1065,56468,1076,56920,1097,59266,1116
blendLinear,59336.67,1810,62237,2515,68109,3741,100362,10167
blur,57040.67,1130,58950,1130,62686,1164,81866,1169
boxFilter,56957.17,1128,58890,1141,62776,1154,82264,1166
buildPyramid,56734.67,1355,58127,1417,60654,1399,74170,1395
Canny,61811.5,1620,71639,2359,89718,5575,183400,4573
CascadeClassifier,54034.83,55063,155116,145517,332251,329554,1267064,1260562
checkRange,6.33,486,8,1024,8,2083,8,6608
compare,56477.17,1055,56708,1078,57352,1110,59961,1112
convertScaleAbs,56716.33,1073,57294,1089,58660,1090,65937,1109
copyMakeBorder,56467.67,1065,56792,1072,57678,1122,59960,1126
cornerHarris,5244.33,680,14408,744,31253,872,120424,1683
cornerMinEigenVal,4515.5,655,12398,681,26604,726,102759,1333
countNonZero,32.33,389,71,352,141,450,497,541
cvtColor,56899.67,1810,57165,1834,58205,1852,61222,1874
dct,5544.67,6809,19076,21951,43551,48510,178480,196394
dft,1287.83,1646,4270,1840,9241,2284,37977,3434
dilate,56424.67,1122,57137,1139,58556,1158,65217,1212
divide,56628.33,1068,57816,1078,59422,1098,69853,1142
drawContours,25.5,158,67,414,157,746,984,2977
equalizeHist,146,829,439,973,748,978,2928,1051
erode,56471.33,1118,57267,1159,58674,1154,64871,1188
exp,58991.33,214,64174,230,74920,307,130071,985
extractChannel,56215.67,1090,56482,1073,56790,1106,59776,1132
filter2D,63186.5,1315,76818,1349,103133,1365,243129,1375
findContours,2596.5,3932,8567,9956,26754,31306,256187,326493
findNonZero,622.17,1596,1359,3788,2618,7800,8776,26813
flip,57138.67,1112,57028,1140,59221,1168,63309,1201
GaussianBlur,58054,1464,61449,1598,67564,1882,102122,3332
idct,5504,6506,19220,21140,43728,47915,179440,194576
idft,1355.5,1336,4489,1563,10320,1843,41324,4640
inRange,57451,1216,57463,1284,58662,1305,64020,1359
integral,68615,11020,73106,29482,92486,61296,210596,250577
Laplacian,57339.5,1219,59001,1227,62229,1254,81176,1271
log,57399.17,213,60087,230,65419,305,96263,982
LUT,124.33,424,213,356,479,333,1450,368
matchTemplate,83600.17,13710,126291,30748,194750,60200,568672,601031
max,58715.17,1272,61118,1135,59379,2170,61531,1169
mean,68.17,526,176,1248,386,2405,1426,8213
meanStdDev,57561.5,1359,58272,1260,59593,1323,67516,1481
medianBlur,58814.67,1227,62828,1256,69944,1270,107317,1281
min,57576.33,1168,57518,1162,58714,1222,61027,1208
morphologyEx,58112.17,3076,62544,8277,69560,17077,111121,66612
mulSpectrums,499,1879,1446,4270,3015,8114,9508,26541
multiply,57372.83,1132,57674,1188,58221,1583,61044,1203
mulTransposed,57573.67,58296,415778,415863,1471208,1493359,16129808,15582979
norm,57089.5,1262,57589,1203,58036,1304,59550,1420
normalize,57588.5,1435,58534,1436,59440,1500,66604,1646
pow,58351.83,1173,59357,1203,58801,1888,62072,1202
PSNR,57336.5,1284,57178,1257,57439,1333,59297,1610
pyrDown,56537.17,1146,57315,1179,59512,1192,69792,1218
pyrMeanShiftFiltering,80139.33,24704,123041,68499,198554,145344,586764,542936
pyrUp,58091.83,1119,61519,1143,68165,1165,105722,1269
randn,5490.83,5972,16404,17534,36692,38944,146309,153040
randShuffle,1578.17,2062,5322,6329,17782,19337,116474,122245
randu,2220.83,2662,6630,7715,14798,16964,59298,66410
remap,58351.83,2370,59794,3839,60763,4960,69157,12982
resize,57802.5,1179,58816,1168,58967,1379,61936,1210
scaleAdd,58243.67,1162,58863,1176,62570,1157,70993,1657
Scharr,60245.33,2466,68012,3795,81843,5878,156821,16504
sepFilter2D,64858.83,7904,80555,22426,102189,49275,238914,194101
Sobel,56742.83,1464,57512,1599,59163,1861,69297,3304
sort,955.17,1384,2160,3238,4199,5950,12638,17615
sortIdx,7833.5,8874,23951,25527,53331,56458,218924,229395
spatialGradient,329.67,548,997,1521,1900,2847,5888,8768
sqrBoxFilter,58762,1099,60687,1116,65538,1154,93220,1259
sqrt,58377.83,210,59764,232,61814,321,73312,1035
subtract,57225.83,1172,57724,1149,57880,1149,61998,1175
sum,57953.5,1233,60672,1574,57476,1256,59207,1623
threshold,56583.83,1055,56693,1065,57507,1111,60476,1128
transform,58238.5,2851,62147,7914,69532,16743,109512,63340
transpose,56487,1093,56980,1096,58076,1112,63778,1150
warpAffine,579.67,384,1244,371,2777,362,9326,486
warpPerspective,1342.83,335,2974,378,6693,358,22494,515
